name,longitude,latitude,best_resource
ABERDEEN,-98.4133,45.4558,Solar
ABERDEEN,-98.4133,45.4558,Wind
ABERDEEN,-98.4133,45.4558,Hydro
ABILENE RGNL AP,-99.6819,32.4106,Solar
ABILENE RGNL AP,-99.6819,32.4106,Wind
AKRON CANTON AP,-81.4433,40.9181,Solar
AKRON CANTON AP,-81.4433,40.9181,Wind
AKRON CANTON AP,-81.4433,40.9181,Hydro
ALABASTER SHELBY CO AP ASOS,-86.7817,33.1783,Solar
ALAMOSA-BERGMAN FLD,-105.8617,37.4394,Solar
ALAMOSA-BERGMAN FLD,-105.8617,37.4394,Wind
ALBANY INTL AP,-73.7992,42.7472,Solar
ALBANY INTL AP,-73.7992,42.7472,Wind
ALBUQUERQUE INTL AP,-106.6156,35.0419,Solar
ALBUQUERQUE INTL AP,-106.6156,35.0419,Wind
ALBUQUERQUE INTL AP,-106.6156,35.0419,Hydro
ALMA BACON CO AP,-82.5072,31.54,Solar
ALPENA CO RGNL AP,-83.5644,45.0717,Solar
AMARILLO,-101.7092,35.2333,Solar
AMARILLO,-101.7092,35.2333,Wind
ANCHORAGE TED STEVENS INTL AP,-150.0278,61.1692,Solar
ANCHORAGE TED STEVENS INTL AP,-150.0278,61.1692,Wind
ASHEVILLE AP,-82.5378,35.4317,Solar
ASHEVILLE AP,-82.5378,35.4317,Hydro
ASHEVILLE AP,-82.5378,35.4317,Wind
ATLANTA HARTSFIELD-JACKSON INT,-84.4422,33.6297,Solar
ATLANTA HARTSFIELD-JACKSON INT,-84.4422,33.6297,Wind
AUGUSTA BUSH FLD AP,-81.9636,33.3653,Solar
AUGUSTA BUSH FLD AP,-81.9636,33.3653,Wind
AUSTIN BERGSTROM INTL AP,-97.68,30.1831,Solar
AUSTIN BERGSTROM INTL AP,-97.68,30.1831,Wind
BAKERSFIELD AP,-119.0553,35.4342,Solar
BAKERSFIELD AP,-119.0553,35.4342,Wind
BALTIMORE-WASHINGTON INTL AP,-76.6842,39.1733,Solar
BALTIMORE-WASHINGTON INTL AP,-76.6842,39.1733,Wind
BANGOR INTL AP,-68.8186,44.7978,Solar
BANGOR INTL AP,-68.8186,44.7978,Wind
BECKLEY RALEIGH CO AP,-81.1228,37.7836,Solar
BECKLEY RALEIGH CO AP,-81.1228,37.7836,Wind
BECKLEY RALEIGH CO AP,-81.1228,37.7836,Hydro
BETTLES AP,-151.5189,66.9178,Solar
BILLINGS INTL AP,-108.5461,45.8072,Solar
BILLINGS INTL AP,-108.5461,45.8072,Wind
BILLINGS INTL AP,-108.5461,45.8072,Hydro
BINGHAMTON,-75.9847,42.1997,Solar
BINGHAMTON,-75.9847,42.1997,Wind
BINGHAMTON,-75.9847,42.1997,Hydro
BIRMINGHAM AP,-86.745,33.5656,Solar
BIRMINGHAM AP,-86.745,33.5656,Wind
BISHOP AP,-118.3589,37.3711,Solar
BISHOP AP,-118.3589,37.3711,Wind
BISMARCK,-100.7606,46.7708,Solar
BISMARCK,-100.7606,46.7708,Hydro
BISMARCK,-100.7606,46.7708,Wind
BOISE AIR TERMINAL,-116.2406,43.5669,Solar
BOISE AIR TERMINAL,-116.2406,43.5669,Wind
BOISE AIR TERMINAL,-116.2406,43.5669,Hydro
BRISTOL AP,-82.3989,36.4797,Solar
BRISTOL AP,-82.3989,36.4797,Wind
BRISTOL AP,-82.3989,36.4797,Hydro
BROWNSVILLE,-97.4189,25.9161,Solar
BROWNSVILLE,-97.4189,25.9161,Wind
BUFFALO,-78.7367,42.9489,Solar
BUFFALO,-78.7367,42.9489,Wind
BURLINGTON INTL AP,-73.15,44.4683,Solar
BURLINGTON INTL AP,-73.15,44.4683,Wind
CASPER-NATRONA CO AP,-106.4736,42.8978,Solar
CASPER-NATRONA CO AP,-106.4736,42.8978,Wind
CASPER-NATRONA CO AP,-106.4736,42.8978,Hydro
CHARLESTON - YEAGER AP,-81.5911,38.3794,Solar
CHARLESTON - YEAGER AP,-81.5911,38.3794,Wind
CHARLOTTE DOUGLAS AP,-80.9544,35.2225,Solar
CHARLOTTE DOUGLAS AP,-80.9544,35.2225,Wind
CHATTANOOGA AP,-85.2003,35.0336,Solar
CHATTANOOGA AP,-85.2003,35.0336,Wind
CHEYENNE,-104.8061,41.1519,Solar
CHEYENNE,-104.8061,41.1519,Wind
CHEYENNE,-104.8061,41.1519,Hydro
CHICAGO OHARE INTL AP,-87.9317,41.9603,Solar
CHICAGO OHARE INTL AP,-87.9317,41.9603,Wind
CHILDRESS MUNI AP,-100.2839,34.4275,Solar
CHILDRESS MUNI AP,-100.2839,34.4275,Wind
CHUUK WSO AP,151.85,7.4667,Solar
CINCINNATI/NORTHERN KENTUCKY I,-84.6725,39.0444,Solar
CINCINNATI/NORTHERN KENTUCKY I,-84.6725,39.0444,Wind
CLAYTON MUNI AIR PK,-103.1536,36.4483,Solar
CLAYTON MUNI AIR PK,-103.1536,36.4483,Wind
CLEVELAND,-81.86,41.4133,Solar
CLEVELAND,-81.86,41.4133,Wind
COLLEGE STN EASTERWOOD FLD,-96.3631,30.5911,Solar
COLLEGE STN EASTERWOOD FLD,-96.3631,30.5911,Wind
COLORADO SPRINGS MUNI AP,-104.6886,38.8094,Solar
COLORADO SPRINGS MUNI AP,-104.6886,38.8094,Hydro
COLORADO SPRINGS MUNI AP,-104.6886,38.8094,Wind
COLUMBIA,-81.1183,33.9486,Solar
COLUMBIA,-81.1183,33.9486,Wind
COLUMBIA RGNL AP,-92.2147,38.8169,Solar
COLUMBIA RGNL AP,-92.2147,38.8169,Wind
CONCORD ASOS,-71.5025,43.205,Solar
CONCORD ASOS,-71.5025,43.205,Wind
CORPUS CHRISTI,-97.5114,27.7839,Solar
CORPUS CHRISTI,-97.5114,27.7839,Wind
DAL-FTW WSCMO AP,-97.0219,32.8975,Solar
DAL-FTW WSCMO AP,-97.0219,32.8975,Wind
DALLAS FAA AP,-96.8358,32.8383,Solar
DALLAS FAA AP,-96.8358,32.8383,Wind
DAYTON INTL AP,-84.2186,39.9064,Solar
DAYTON INTL AP,-84.2186,39.9064,Wind
DAYTON INTL AP,-84.2186,39.9064,Hydro
DAYTONA BEACH INTL AP,-81.0719,29.1736,Solar
DAYTONA BEACH INTL AP,-81.0719,29.1736,Wind
DENVER INTL AP,-104.6561,39.8467,Solar
DENVER INTL AP,-104.6561,39.8467,Wind
DENVER INTL AP,-104.6561,39.8467,Hydro
DES MOINES INTL AP,-93.6531,41.5339,Solar
DES MOINES INTL AP,-93.6531,41.5339,Wind
DETROIT METRO AP,-83.3311,42.2311,Solar
DETROIT METRO AP,-83.3311,42.2311,Wind
DODGE CITY,-99.9689,37.7608,Solar
DODGE CITY,-99.9689,37.7608,Wind
DODGE CITY,-99.9689,37.7608,Hydro
DOUGLAS (BISBEE) INTL AP,-109.6067,31.4583,Solar
DUBUQUE RGNL AP,-90.7092,42.3983,Solar
DUBUQUE RGNL AP,-90.7092,42.3983,Hydro
DUBUQUE RGNL AP,-90.7092,42.3983,Wind
DULUTH,-92.2097,46.8369,Solar
DULUTH,-92.2097,46.8369,Hydro
DULUTH,-92.2097,46.8369,Wind
EL PASO INTL AP,-106.3775,31.8122,Solar
EL PASO INTL AP,-106.3775,31.8122,Wind
ELIZABETH CITY CGAS,-76.1717,36.2578,Solar
ELIZABETH CITY CGAS,-76.1717,36.2578,Wind
ELKINS- RANDOLPH CO AP,-79.8556,38.89,Hydro
ELKINS- RANDOLPH CO AP,-79.8556,38.89,Solar
ELKINS- RANDOLPH CO AP,-79.8556,38.89,Wind
ELY AP,-114.8467,39.2953,Solar
ELY AP,-114.8467,39.2953,Wind
ELY AP,-114.8467,39.2953,Hydro
ERIE INTL AP,-80.1822,42.0803,Solar
ERIE INTL AP,-80.1822,42.0803,Wind
EUGENE-MAHLON SWEET FLD,-123.2156,44.1331,Solar
EUGENE-MAHLON SWEET FLD,-123.2156,44.1331,Wind
